Date,Hour,DA_DEMD,DEMAND,DA_LMP,DA_EC,DA_MLC,RT_LMP,RT_EC,SYSLoad,RegCP
1,1,10706,12094,40.87,40.09,0.78,31.78,31.51,12230,59
1,2,10235,11390,38.97,38.22,0.75,37.37,36.96,11534,42
1,3,9926,10883,35.93,35.23,0.7,25.65,25.36,11038,65.68
1,4,9736,10644,34.79,34.11,0.68,29.25,28.9,10777,67.07
1,5,9742,10633,34.79,34.11,0.68,26.03,25.73,10764,67.07
1,6,9992,10891,35.39,34.7,0.69,21.61,21.33,11032,48
1,7,10998,11376,38.97,38.21,0.76,21.64,21.4,11508,44
1,8,11717,11677,40.76,39.96,0.8,20.91,20.67,11806,46
1,9,12855,12310,42.11,41.29,0.82,26,25.65,12457,66.53
1,10,13079,13071,44.26,43.39,0.87,35.5,35.08,13214,64.66
1,11,13741,13658,46.38,45.48,0.9,41.59,41.1,13783,62.81
1,12,13657,14015,46.17,45.28,0.89,42.59,42.1,14156,62.99
1,13,13254,14018,45.23,44.36,0.87,39.93,39.48,14182,63.81
1,14,12931,13826,43.9,43.06,0.84,29.1,28.78,13988,64.97
1,15,12857,13591,41.58,40.78,0.8,32.4,32,13727,65.71
1,16,13178,13716,44.62,43.76,0.86,38.11,37.64,13856,64.35
1,17,14704,15053,59.77,58.6,1.17,58.91,58.18,15215,49
1,18,15202,16421,80.47,78.91,1.56,68.83,68.09,16593,51
1,19,15209,16324,80.47,78.92,1.55,58.16,57.44,16483,63.69
1,20,15114,15969,61.65,60.47,1.18,54.32,53.58,16135,60.03
1,21,14585,15484,57.08,55.98,1.1,45.26,44.72,15681,40
1,22,13720,14700,47.53,46.62,0.91,44.03,43.53,14872,65
1,23,12485,13567,41.58,40.79,0.79,29.45,29.11,13769,53
1,24,10926,12466,40.71,39.93,0.78,38.52,38.09,12640,55
2,1,11273,11603,44.62,43.8,0.82,35.93,35.58,11728,65.71
2,2,11121,11153,41.59,40.81,0.78,25.46,25.19,11275,66.84
2,3,10930,10968,41.38,40.6,0.78,28.51,28.19,11083,67.02
2,4,10878,10952,41.38,40.6,0.78,33.79,33.41,11071,67.02
2,5,11143,11178,41.58,40.79,0.79,25.43,25.11,11304,66.85
2,6,11402,11919,41.38,40.6,0.78,32.59,32.13,12053,53
2,7,13259,13212,45.71,44.87,0.84,36.08,35.59,13372,65.03
2,8,14545,14472,53.68,52.69,0.99,48.13,47.54,14656,64
2,9,14895,15451,65.04,63.85,1.19,56.19,55.55,15658,55.03
2,10,15062,16252,69.6,68.33,1.27,70.31,69.53,16472,43.32
2,11,15207,16679,66.07,64.86,1.21,61.43,60.69,16889,64
2,12,15233,16799,66.4,65.18,1.22,70.53,69.68,17015,41.36
2,13,15197,16633,52.64,51.68,0.96,70.33,69.52,16869,52
2,14,15241,16368,50.74,49.66,0.91,52.58,51.82,16595,60
